Item,Quantity,Price,Total,Link
150 mm x 4 extrusion,2,$16.98,$33.96,https://www.aliexpress.us/item/3256808699836480.html
250 mm x 4 extrusion,2,$23.47,$46.94,https://www.aliexpress.us/item/3256808699836480.html
MGN9 Rail 100mm + Block,3,$7.30,$21.90,https://www.aliexpress.us/item/2255800576028509.html
775 spindle with collets,1,$78.78,$78.78,https://www.aliexpress.us/item/3256805767996082.html
F623RS 10 pack,3,$4.90,$14.70,https://www.aliexpress.us/item/3256804449119001.html
M3 Screws Kit,1,$16.00,$16.00,https://www.amazon.com/Assortment-Stainless-Replacement-Machine-Fastener/dp/B0CMQG542V?th=1
Nema17 Stepper Motor,2,$17.73,$35.46,https://www.aliexpress.us/item/3256802068491329.html
Nema 17 Stepper Motor with 100mm Lead Screw,2,$26.31,$52.62,https://www.aliexpress.us/item/3256803579009544.html
8mm od 250 mm linear rod,4,$4.46,$17.84,https://www.aliexpress.us/item/3256805290944526.html
LM8UU linear bearing,3,$3.08,$9.24,https://www.aliexpress.us/item/3256806883965670.html
CNC Controller,1,$36.00,$36.00,https://www.aliexpress.us/item/3256807037541587.html
A4988 Stepper Driver,1,$2.10,$2.10,https://www.aliexpress.us/item/3256805909921734.html
GT2 6mm Belt (2m),1,$6.78,$6.78,https://www.aliexpress.us/item/3256806321466333.html
GT2 Pulleys,2,$0.96,$1.92,https://www.aliexpress.us/item/2251832595367020.html
M5 Screw Kit,1,$14.97,$14.97,https://www.aliexpress.us/item/3256806973435795.html
Mean Well 24V PSU,1,$49.25,$49.25,https://www.aliexpress.us/item/2255800177960035.html
,,Total,$435.56,
